TC Type;File Name;OK;NOK;NT;DIF;VWC;OTHER
DATACOM_A;T_VOL7_ES_SYST_DATA_COM_A_001-001.doc;0;0;0;5;0;0
SENSORS;T_VOL7_ES_SYST_ASTERIX_001-001.doc;0;0;6;5;0;0
SENSORS;T_VOL7_ES_SYST_ASTERIX_CONNECTIVITY_001-001.doc;0;0;4;5;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_FPS117_001-001_BRTN_15062016.doc;36;1;2;8;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_HR3000_001-001_KAS_15062016.doc;22;0;2;11;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-001_KGPZ_10062016.doc;19;0;1;1;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-002_KSTP_13062016.doc;20;0;0;1;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-003_MRDN_16062016.doc;21;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-004_21.06.2016.doc;21;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-005_PERS_14062016.doc;20;0;0;1;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-006_PRST_14062016.doc;21;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-007_YMDG_14062016.doc;20;0;0;1;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-008.doc;0;0;21;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-009_MSLN_14062016.doc;21;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-010.doc;0;0;12;9;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-011_DTCA_14062016.doc;18;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-012_DVDG_14062016.doc;18;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-013_BSFT_14062016.doc;15;0;3;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-014.doc;0;0;18;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-015.doc;0;0;18;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-016.doc;0;0;12;9;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-017_KRCD_14062016.doc;18;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-018_KRDG_14062016.doc;16;0;2;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-019_KZDG_14062016.doc;18;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-020.doc;0;0;18;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-021_ERYG_14062016.doc;18;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RADAR_CONNECTIVITY_001-022_GRVL_14062016.doc;18;0;0;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RAT31DL_001-001_EKCK_16062016.doc;41;0;1;13;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RAT31DL_002-001.doc;0;0;31;0;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RAT31DL_002-001_KBLN_17062016.doc;26;0;0;5;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_RAT31SL_001-001_DKTP_20160620.doc;38;2;0;8;0;0
SENSORS;T_VOL7_ES_SYST_AWCIES_TRS22XX_001-001.doc;0;0;27;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-001.doc;0;0;34;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-002.doc;0;0;197;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-003_22062016.doc;38;2;0;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-004_21062016.doc;11;0;0;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-005_21062016.doc;55;0;0;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-006_21062016.doc;12;0;0;0;0;4
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-007_20062016.doc;53;1;0;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-008_22062016.doc;34;0;0;0;0;0
Regression;T_VOL7_ES_SYST_ARS_STARTUP_001-009_20062016.doc;10;0;1;0;0;0
Regression;T_VOL7_ES_SYST_LSD_DISPLAY_001-001_22062016.doc;8;0;0;0;0;0
L1;T_VOL7_ES_SYST_LINK1_001-001_DEP_SHORAD_1_MARMARIS.doc;49;0;0;24;0;0
L1;T_VOL7_ES_SYST_LINK1_002-001.doc;0;0;66;8;0;0
L1;T_VOL7_ES_SYST_LINK1_CONNECTIVITY_001-001.doc;0;0;34;0;0;0
L1;T_VOL7_ES_SYST_LINK1_CONNECTIVITY_001-002.doc;0;0;34;0;0;0
L1;T_VOL7_ES_SYST_LINK1_CONNECTIVITY_001-003.doc;0;0;34;0;0;0
L1;T_VOL7_ES_SYST_LINK1_I_001-001.doc;6;0;0;0;0;0
METEO;T_VOL7_ES_SYST_METEO_001-001.doc;0;0;23;3;0;0
AWCIES;T_VOL7_ES_SYST_AWCIES_ARS_ARS_001-001.doc;0;0;29;12;0;0
AWCIES;T_VOL7_ES_SYST_AWCIES_ARS_ARS_001-002.doc;0;0;29;12;0;0
AWCIES;T_VOL7_ES_SYST_AWCIES_ARS_CAOC_001-001.doc;0;0;53;21;0;0
AWCIES;T_VOL7_ES_SYST_AWCIES_ARS_CARS_001-001.doc;0;0;24;12;0;0
AWCIES;T_VOL7_ES_SYST_AWCIES_ARS_CARS_001-002.doc;0;0;54;22;0;0
AWCIES;T_VOL7_ES_SYST_AWCIES_I_001-001.doc;11;0;0;0;0;0
L11B;T_VOL7_ES_SYST_LINK11B_001-001.doc;0;0;62;0;0;0
L11B;T_VOL7_ES_SYST_LINK11B_002-001.doc;0;0;54;24;0;0
L11B;T_VOL7_ES_SYST_LINK11B_003-001.doc;0;0;40;22;0;0
L11B;T_VOL7_ES_SYST_LINK11B_004-001_NSFP_IZMIR_11072016.doc;49;0;4;18;0;0
L11B;T_VOL7_ES_SYST_LINK11B_005-001.doc;0;0;61;0;0;0
